sampling_campaign;site;tBeg;tEnd;sample_name;operator;value;parameter;unit;comment;siteCode;variableCode;labSampleCode;tMid
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.105;CBZ;µg/L;;KWB_WEID;CBZ;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.517;VSA;µg/L;;KWB_WEID;VSA;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;1.113;CAN;µg/L;;KWB_WEID;CAN;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.759;VAL;µg/L;;KWB_WEID;VAL;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;40.2;Cl;mg/L;;KWB_WEID;Cl;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;0.55;NO3_N_filtered;mg/L;;KWB_WEID;NO3N;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;145;SO4;mg/L;;KWB_WEID;SO4;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;10500;SomPh;cfu/100 mL;;KWB_WEID;SoCp;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;133;F+Ph;cfu/100 mL;;KWB_WEID;FBp;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;134695;Adeno;cfu/100 mL;;KWB_WEID;Adv;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;;588;Cond;µS/cm;;KWB_WEID;LF;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 16:25:00;2016-07-13 17:05:00;Weid_2;<;20;Noro;cfu/100 mL;;KWB_WEID;Nov;O2016-16334;2016-07-13 16:45:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;>;3200000;Ecoli;MPN/100 mL;;KWB_WEID;EColi;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;20590;Entero;MPN/100 mL;;KWB_WEID;FaeStr;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;<;0.03;Ortho_P;mg/L;;KWB_WEID;PO4;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;1.85;P_TOTAL;mg/L;;KWB_WEID;P;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;<;0.05;NH4_N;mg/L;;KWB_WEID;NH4;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;<;0.5;NO3_N;mg/L;;KWB_WEID;NO3;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;49;AFS;mg/L;;KWB_WEID;TSS;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;32;BSB5;mg/L;;KWB_WEID;BSB;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;99;CSB;mg/L;;KWB_WEID;CSB;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;<;1;chloro;µg/L;;KWB_WEID;ChA;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.705;ACS;µg/L;;KWB_WEID;ACS;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.08;ATS;µg/L;;KWB_WEID;ATS;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.115;IOM;µg/L;;KWB_WEID;IOM;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.181;IOP;µg/L;;KWB_WEID;IOP;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.438;GAB;µg/L;;KWB_WEID;GAB;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;1.754;BTA;µg/L;;KWB_WEID;BTA;O2016-16335;2016-07-13 17:25:00
